,mean_rated,height,weight,club,leagueCountry,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,YC_IAT,YR_IAT,RC_IAT,YC_EXP,YR_EXP,RC_EXP
386,0.0,184.0,85.0,37,2,320.0,141.0,77.0,102.0,20.0,50.0,0.0,0.0,5.7655785459,0.0,0.0,6.7062744423,0.0,0.0
387,0.0,188.0,79.0,37,2,167.0,55.0,39.0,73.0,2.0,24.0,0.0,0.0,2.02730097962,0.0,0.0,2.02331856234,0.0,0.0
388,0.0,184.0,81.0,55,1,194.0,67.0,51.0,76.0,5.0,24.0,0.0,2.0,2.34315643445,0.196813231448,0.0,2.52236681246,0.211832877454,0.0
389,1.0,174.0,74.0,38,2,223.0,99.0,50.0,74.0,60.0,26.0,1.0,1.0,2.59329656552,0.0480897375204,0.336628162643,4.06891992232,0.0479952703429,0.3359668924
390,0.0,173.0,73.0,89,2,400.0,197.0,86.0,117.0,109.0,83.0,1.0,1.0,10.3669102108,0.0561046937738,0.178681596261,14.815694996,0.0559944820667,0.224734042553
391,0.0,188.0,85.0,86,3,233.0,81.0,62.0,90.0,0.0,25.0,0.0,1.0,2.1440354402,0.0528419420267,0.0,3.21444746946,0.0840424730778,0.0
392,0.0,194.0,89.0,89,2,371.0,157.0,87.0,127.0,0.0,20.0,0.0,2.0,2.87957285409,0.130910952139,0.0,4.01100416929,0.130653791489,0.0
393,0.0,161.0,60.0,51,3,193.0,65.0,52.0,76.0,33.0,48.0,0.0,1.0,5.45736977094,0.184473021725,0.0,9.3186908117,0.318585858586,0.0
394,0.0,174.0,67.0,34,3,200.0,63.0,48.0,89.0,38.0,30.0,1.0,0.0,1.26160444526,0.0,0.0336266903807,2.00651894231,0.0,0.0534815737768
395,0.0,184.0,83.0,25,3,365.0,136.0,101.0,128.0,31.0,76.0,6.0,4.0,7.16177166215,0.435065322687,0.612998302857,11.911398815,0.691949695007,0.986921571002
396,0.0,177.0,74.0,12,2,127.0,79.0,23.0,25.0,7.0,5.0,0.0,0.0,1.09404152859,0.0,0.0,1.0918924003,0.0,0.0
397,0.0,189.0,81.0,10,3,232.0,113.0,53.0,66.0,93.0,68.0,1.0,4.0,8.10445997421,0.589214385694,0.184946797094,13.1526436682,0.866611831143,0.294148655772
398,0.0,185.0,75.0,10,3,359.0,190.0,79.0,90.0,19.0,76.0,1.0,7.0,6.57923225325,0.364128095103,0.041099288243,10.3907269863,0.626732567691,0.0653663679494
